timestamp,symbol,price
2025-09-18T17:12:52.776589,AAPL,146.69
2025-09-18T17:12:52.789174,AAPL,141.92
2025-09-18T17:12:52.801782,AAPL,140.49
2025-09-18T17:12:52.813887,AAPL,138.68
2025-09-18T17:12:52.826425,AAPL,141.51
2025-09-18T17:12:52.838977,AAPL,139.89
2025-09-18T17:12:52.851511,AAPL,139.44
2025-09-18T17:12:52.864054,AAPL,137.5
2025-09-18T17:12:52.876600,AAPL,137.11
2025-09-18T17:12:52.889136,AAPL,137.84
2025-09-18T17:12:52.901672,AAPL,138.45
2025-09-18T17:12:52.914210,AAPL,139.24
2025-09-18T17:12:52.926762,AAPL,137.93
2025-09-18T17:12:52.938309,AAPL,136.62
2025-09-18T17:12:52.950155,AAPL,140.95
2025-09-18T17:12:52.962697,AAPL,135.93
2025-09-18T17:12:52.974801,AAPL,134.08
2025-09-18T17:12:52.987344,AAPL,133.66
2025-09-18T17:12:52.999877,AAPL,136.04
2025-09-18T17:12:53.010969,AAPL,137.42
2025-09-18T17:12:53.023545,AAPL,136.0
2025-09-18T17:12:53.035039,AAPL,137.51
2025-09-18T17:12:53.046871,AAPL,132.2
2025-09-18T17:12:53.058551,AAPL,131.66
2025-09-18T17:12:53.071105,AAPL,134.63
2025-09-18T17:12:53.083754,AAPL,132.1
2025-09-18T17:12:53.094098,AAPL,130.49
2025-09-18T17:12:53.106634,AAPL,131.58
2025-09-18T17:12:53.119172,AAPL,129.53
2025-09-18T17:12:53.129637,AAPL,129.49
2025-09-18T17:12:53.142175,AAPL,131.71
2025-09-18T17:12:53.153342,AAPL,128.91
2025-09-18T17:12:53.165182,AAPL,130.06
2025-09-18T17:12:53.177016,AAPL,131.97
2025-09-18T17:12:53.188870,AAPL,132.43
2025-09-18T17:12:53.200721,AAPL,136.32
2025-09-18T17:12:53.212570,AAPL,135.28
2025-09-18T17:12:53.225122,AAPL,134.91
2025-09-18T17:12:53.237674,AAPL,137.94
2025-09-18T17:12:53.250227,AAPL,139.31
2025-09-18T17:12:53.261580,AAPL,137.29
2025-09-18T17:12:53.274115,AAPL,136.62
2025-09-18T17:12:53.286652,AAPL,134.21
2025-09-18T17:12:53.299098,AAPL,133.87
2025-09-18T17:12:53.310948,AAPL,133.94
2025-09-18T17:12:53.322153,AAPL,136.49
2025-09-18T17:12:53.334738,AAPL,136.01
2025-09-18T17:12:53.345865,AAPL,136.35
2025-09-18T17:12:53.358496,AAPL,132.76
2025-09-18T17:12:53.371142,AAPL,131.03
2025-09-18T17:12:53.383381,AAPL,128.86
2025-09-18T17:12:53.395272,AAPL,126.41
2025-09-18T17:12:53.407521,AAPL,127.95
2025-09-18T17:12:53.420073,AAPL,128.85
2025-09-18T17:12:53.432152,AAPL,127.87
2025-09-18T17:12:53.444703,AAPL,127.61
2025-09-18T17:12:53.457167,AAPL,129.17
2025-09-18T17:12:53.468981,AAPL,134.04
2025-09-18T17:12:53.479728,AAPL,134.7
2025-09-18T17:12:53.490538,AAPL,130.23
2025-09-18T17:12:53.503208,AAPL,129.83
2025-09-18T17:12:53.515512,AAPL,129.25
2025-09-18T17:12:53.525933,AAPL,130.36
2025-09-18T17:12:53.536800,AAPL,131.66
2025-09-18T17:12:53.548664,AAPL,136.59
2025-09-18T17:12:53.560497,AAPL,140.98
2025-09-18T17:12:53.572354,AAPL,145.29
2025-09-18T17:12:53.584892,AAPL,146.82
2025-09-18T17:12:53.595932,AAPL,149.75
2025-09-18T17:12:53.607811,AAPL,156.24
2025-09-18T17:12:53.620358,AAPL,155.3
2025-09-18T17:12:53.631495,AAPL,151.57
2025-09-18T17:12:53.644041,AAPL,149.08
2025-09-18T17:12:53.656331,AAPL,148.82
2025-09-18T17:12:53.668906,AAPL,148.17
2025-09-18T17:12:53.681457,AAPL,148.73
2025-09-18T17:12:53.694004,AAPL,149.11
2025-09-18T17:12:53.704428,AAPL,150.98
2025-09-18T17:12:53.716281,AAPL,152.05
2025-09-18T17:12:53.728134,AAPL,154.23
2025-09-18T17:12:53.739996,AAPL,150.32
2025-09-18T17:12:53.751900,AAPL,154.06
2025-09-18T17:12:53.764437,AAPL,153.05
2025-09-18T17:12:53.775607,AAPL,153.53
2025-09-18T17:12:53.787474,AAPL,158.66
2025-09-18T17:12:53.800059,AAPL,156.89
2025-09-18T17:12:53.811025,AAPL,154.38
2025-09-18T17:12:53.822870,AAPL,157.86
2025-09-18T17:12:53.835432,AAPL,158.08
2025-09-18T17:12:53.847978,AAPL,157.24
2025-09-18T17:12:53.858428,AAPL,157.87
2025-09-18T17:12:53.870280,AAPL,156.86
2025-09-18T17:12:53.881788,AAPL,157.55
2025-09-18T17:12:53.893422,AAPL,153.51
2025-09-18T17:12:53.903788,AAPL,152.67
2025-09-18T17:12:53.916341,AAPL,146.94
2025-09-18T17:12:53.926891,AAPL,151.41
2025-09-18T17:12:53.939468,AAPL,149.18
2025-09-18T17:12:53.952017,AAPL,148.8
2025-09-18T17:12:53.964595,AAPL,146.75
2025-09-18T17:12:53.977141,AAPL,149.04
2025-09-18T17:12:53.989678,AAPL,148.98
2025-09-18T17:12:53.999835,AAPL,151.24
2025-09-18T17:12:54.012365,AAPL,152.36
2025-09-18T17:12:54.024896,AAPL,152.95
2025-09-18T17:12:54.037432,AAPL,154.27
2025-09-18T17:12:54.049978,AAPL,153.46
2025-09-18T17:12:54.062506,AAPL,160.9
2025-09-18T17:12:54.073753,AAPL,163.13
2025-09-18T17:12:54.086282,AAPL,161.86
